Lat,Long,cat2,x,Start
39.09120814,-77.262548,6,0,12/8/14
39.1378807,-77.19409864,18,0,12/8/14
39.23706168,-77.26371924,6,0,12/8/14
39.10656342,-77.18690403,16,0,12/8/14
39.00069514,-77.00258176,18,0,12/8/14
38.9916456,-77.02661141,8,0,12/8/14
39.03346441,-76.98612615,2942,0,12/8/14
39.26314835,-77.20941474,2941,0,12/9/14
39.026411,-77.15221625,12,0,12/9/14
39.04553937,-77.1048152,6,0,12/9/14
39.04554603,-76.99197541,2941,0,12/9/14
39.05982497,-77.15940275,29,0,12/9/14
39.03982783,-76.99064597,6,0,12/9/14
39.07754475,-77.07083734,6,0,12/9/14
39.08380963,-77.07764908,28,0,12/9/14
38.99057155,-77.09554918,28,0,12/10/14
39.0605456,-76.96354247,5,0,12/10/14
39.07943008,-77.14472073,6,0,12/10/14
39.05315153,-77.11666842,10,0,12/10/14
39.02197521,-77.14664246,6,0,12/10/14
38.99178744,-77.03063755,10,0,12/10/14
39.02775659,-77.07804594,29,0,12/10/14
39.14101309,-77.11960729,10,0,12/10/14
39.14516618,-76.99187476,6,0,12/10/14
39.10978692,-76.99674733,22,0,12/10/14
39.07899815,-76.93994991,29,0,12/11/14
39.01917826,-76.97664471,18,0,12/11/14
39.04114325,-77.11002854,6,0,12/11/14
38.99178744,-77.03063755,10,0,12/11/14
39.17674894,-77.26018979,21,0,12/11/14
39.25225697,-77.1438199,7,0,12/11/14
38.98589237,-76.98804664,22,0,12/11/14
39.08351755,-77.14898958,2941,0,12/12/14
38.9800876,-77.09214928,14,0,12/12/14
38.99178744,-77.03063755,10,0,12/12/14
39.13524129,-77.23718322,29,0,12/12/14
39.0204213,-76.9766814,6,0,12/12/14
39.09939421,-77.19239303,6,0,12/12/14
39.06215159,-77.06707562,6,0,12/12/14
38.99843827,-77.0287483,22,0,12/12/14
39.17937488,-77.28258353,7,0,12/12/14
39.00169772,-77.12782301,21,0,12/12/14
38.99341888,-77.02667333,2941,0,12/12/14
39.21208447,-77.14265187,28,0,12/12/14
39.04262684,-77.06034889,27,0,12/13/14
