Pickup_latitude,Pickup_longitude,duration,total_adjusted,total,Fare_amount,Tip_amount,Trip_distance,RateCodeID
40.83250809,-73.86287689,56.12,32.9165,33.5,33.5,0,3.89,1
40.67368317,-73.97599792,39.88,32.135,33.5,33.5,0,9.1,1
40.79036713,-73.95204163,32.13,31.925,33.5,33.5,0,10.5,1
40.86555481,-73.92772675,29.53,31.8965,33.5,33.5,0,10.69,1
40.74801254,-73.9571991,28.02,31.766,33.5,33.5,0,11.56,1
40.68708801,-73.95576477,33,39.9155,41.45,33,8.45,10.23,1
40.6568718,-73.92446136,46.65,38.695,39.85,33,6.85,7.7,1
40.70476532,-73.92871857,41.63,38.446,39.76,33,6.76,8.76,1
40.5912323,-73.98348236,34.78,38.369,39.86,33,6.86,9.94,1
40.69070435,-73.95967865,37.58,38.3515,39.76,33,6.76,9.39,1
40.65818024,-73.95922089,35.7,36.521,38,33,5,9.86,1
40.74721146,-73.94290161,41.22,33.925,35.2,33,2.2,8.5,1
40.73174667,-73.86356354,33.62,31.527,33,33,0,9.82,1
40.79836655,-73.93973541,23.68,31.35,33,33,0,11,1
40.76669312,-73.92144775,24.77,39.2645,40.82,32.5,8.32,10.37,1
40.78889084,-73.95388031,34.8,37.8645,39.36,32.5,6.86,9.97,1
40.72182083,-73.95818329,43.63,36.1605,37.5,32.5,5,8.93,1
40.68543243,-73.94721985,47.93,34.459,35.5,32.5,3,6.94,1
40.76130295,-73.91719818,43.05,31.4575,32.5,32.5,0,6.95,1
40.80425262,-73.96303558,37.98,31.24,32.5,32.5,0,8.4,1
40.74741745,-73.88672638,30.2,31.03,32.5,32.5,0,9.8,1
40.74189377,-73.88100433,23.95,30.8515,32.5,32.5,0,10.99,1
40.72135544,-73.84428406,23.92,30.817,32.5,32.5,0,11.22,1
40.68961716,-73.97219086,21.82,30.805,32.5,32.5,0,11.3,1
40.67663574,-73.9457016,20.73,30.7705,32.5,32.5,0,11.53,1
40.8392334,-73.85897827,32.5,40.289,41.84,32,9.84,10.34,1
40.787323,-73.95404053,29.75,38.1325,39.67,32,7.67,10.25,1
40.6941185,-73.9699707,37.67,37.2145,38.56,32,6.56,8.97,1
40.74383926,-73.92082214,24.35,37.06,38.65,32,6.65,10.6,1
40.7417984,-73.88087463,21.72,36.9115,38.56,32,6.56,10.99,1
40.67482376,-73.96395111,38.03,34.141,35.5,32,3.5,9.06,1
40.74576569,-73.95702362,51.2,33.193,34,32,2,5.38,1
40.76415253,-73.93283844,42.48,30.839,32,32,0,7.74,1
40.76159286,-73.91680908,37.97,30.491,32,32,0,10.06,1
40.8564415,-73.84828186,22.13,30.308,32,32,0,11.28,1
40.69053268,-73.99516296,22.12,30.2705,32,32,0,11.53,1
40.68613434,-73.99086761,41.83,39.9475,40.96,31.5,9.46,6.75,1
40.6937027,-73.98884583,46.47,38.735,39.8,31.5,8.3,7.1,1
40.80716705,-73.9553299,30.72,38.0995,39.58,31.5,8.08,9.87,1
40.73621368,-73.85442352,25.68,36.5225,38.06,31.5,6.56,10.25,1
40.70007706,-73.99346924,24.2,36.301,37.96,31.5,6.46,11.06,1
40.68873596,-73.98501587,29.22,34.822,36.34,31.5,4.84,10.12,1
40.75917435,-73.83138275,31.53,32.0915,33.5,31.5,2,9.39,1
40.74155807,-73.90276337,50.58,30.783,31.5,31.5,0,4.78,1
40.72052383,-73.94698334,44.97,30.5505,31.5,31.5,0,6.33,1
40.74695587,-73.89126587,29.82,30.204,31.5,31.5,0,8.64,1
40.71288681,-73.96233368,31.63,30.1605,31.5,31.5,0,8.93,1
40.73028183,-73.95426941,34.07,30.1005,31.5,31.5,0,9.33,1
40.69262695,-73.99067688,29.47,29.9595,31.5,31.5,0,10.27,1
40.68618011,-73.98269653,40.68,37.78,38.95,31,7.95,7.8,1
40.75034714,-73.93649292,31.37,36.6275,38,31,7,9.15,1
40.7035675,-73.99067688,36.78,36.135,37.35,31,6.35,8.1,1
40.68255234,-73.99808502,39.27,36.0955,37.36,31,6.36,8.43,1
40.67946243,-73.98178864,28.93,35.995,37.45,31,6.45,9.7,1
40.66574097,-73.98261261,25.97,35.965,37.45,31,6.45,9.9,1
40.83992767,-73.94045258,30.9,34.6395,36,31,5,9.07,1
40.71815109,-73.95956421,34.63,33.6425,35,31,4,9.05,1
40.83718109,-73.9427948,28.8,31.396,32.8,31,1.8,9.36,1
40.60520554,-73.94764709,48,30.076,31,31,0,6.16,1
40.84128952,-73.86381531,25.07,29.8555,31,31,0,7.63,5
40.76145172,-73.917099,33.62,29.671,31,31,0,8.86,1
40.74867249,-73.87524414,34.85,29.6515,31,31,0,8.99,1
40.67541122,-73.97106171,33.4,29.638,31,31,0,9.08,1
40.6717453,-73.95159912,33.05,29.605,31,31,0,9.3,1
40.68648529,-73.93601227,31.53,29.56,31,31,0,9.6,1
40.75720596,-73.85721588,34.53,29.545,31,31,0,9.7,1
40.86737823,-73.89722443,32.22,29.53,31,31,0,9.8,1
40.74346161,-73.9537735,32.12,29.491,31,31,0,10.06,1
40.75632477,-73.92958832,23.8,29.44,31,31,0,10.4,1
40.80454636,-73.93759918,18.83,29.365,31,31,0,10.9,1
40.67774582,-73.95896149,35.62,35.415,36.75,30.5,6.25,8.9,1
40.68230057,-73.99346161,21.07,35.312,36.86,30.5,6.36,10.32,1
40.70264816,-73.99163055,25.38,35.305,36.76,30.5,6.26,9.7,1
40.75718689,-73.91505432,19.9,31.8605,33.5,30.5,3,10.93,1
40.80559921,-73.95979309,51.07,31.5385,32.2,30.5,1.7,4.41,1
40.69488144,-73.99224854,21.53,30.955,32.5,30.5,2,10.3,1
40.71269226,-73.8269043,37.87,29.615,30.5,30.5,0,5.9,1
40.82071686,-73.95085144,45.7,29.5265,30.5,30.5,0,6.49,1
40.63927078,-73.91938019,36.17,29.345,30.5,30.5,0,7.7,1
40.63001633,-73.94519043,34.9,29.2295,30.5,30.5,0,8.47,1
40.86354065,-73.92984772,31.12,29.195,30.5,30.5,0,8.7,1
40.74969101,-73.88426208,49.13,29.1425,30.5,30.5,0,9.05,1
40.77557373,-73.91168213,26.68,29.135,30.5,30.5,0,9.1,1
40.81581116,-73.95787811,15.43,28.994,30.5,30.5,0,10.04,4
40.74753189,-73.94386292,22.45,28.985,30.5,30.5,0,10.1,1
40.68387222,-73.97880554,19.33,28.94,30.5,30.5,0,10.4,1
40.7891922,-73.94639587,21.75,28.91,30.5,30.5,0,10.6,1
40.6892662,-73.99029541,32.55,37.91,39.2,30,9.2,8.6,1
40.64243698,-73.94766235,36.78,36.6815,37.82,30,7.82,7.59,1
40.68730927,-73.98361206,40.9,36.605,37.7,30,7.7,7.3,1
40.76566696,-73.93134308,29.55,36.305,37.7,30,7.7,9.3,1
40.74652481,-73.94776917,21.35,35.0875,36.7,30,6.7,10.75,1
40.83434677,-73.94123077,35.48,35.0785,36.16,30,6.16,7.21,1
40.7759285,-73.91093445,28.9,34.916,36.26,30,6.26,8.96,1
40.72705078,-73.95274353,27.68,34.8395,36.26,30,6.26,9.47,1
40.80892563,-73.95209503,29.35,34.816,36.16,30,6.16,8.96,1
40.81073761,-73.95250702,26.53,34.8065,36.26,30,6.26,9.69,1
40.69222641,-73.98733521,24.33,34.754,36.26,30,6.26,10.04,1
40.72216797,-73.95730591,23.93,34.7345,36.26,30,6.26,10.17,1
40.6932869,-73.97241974,16.27,34.73,36.35,30,6.35,10.8,1
40.68805313,-73.96721649,23,34.663,36.16,30,6.16,9.98,1
40.70243073,-73.98846436,18.57,34.594,36.16,30,6.16,10.44,1
40.6744957,-73.96263885,22.38,32.461,34,30,4,10.26,1
40.83675766,-73.92327881,14.23,29.7375,30,30,0,1.75,5
40.80670166,-73.94068146,14.07,29.6415,30,30,0,2.39,5
40.77225494,-73.9274292,12.02,29.4495,30,30,0,3.67,5
40.69060135,-73.98946381,44.72,28.845,30,30,0,7.7,5
40.69137573,-73.83791351,35.73,28.704,30,30,0,8.64,1
40.73044968,-73.86200714,29.9,28.68,30,30,0,8.8,1
40.80542755,-73.96595764,28.9,28.647,30,30,0,9.02,1
40.86344528,-73.9185257,25.93,28.6035,30,30,0,9.31,1
40.70550156,-73.93328857,21.53,28.515,30,30,0,9.9,1
40.73706818,-73.87767029,28.02,28.4775,30,30,0,10.15,1
40.68411636,-73.99219513,20.57,28.473,30,30,0,10.18,1
40.72198868,-73.84414673,20.08,28.461,30,30,0,10.26,1
40.76992035,-73.91758728,18.22,28.425,30,30,0,10.5,1
40.85232162,-73.92527771,29.32,27.441,30,30,0,17.06,5
40.68104553,-73.99430847,26.73,35.694,37.08,29.5,7.58,9.24,1
